Home Team,Away Team,Year
France,Yugoslavia,1960
Czechoslovakia,Soviet Union,1960
Czechoslovakia,France,1960
Soviet Union,Yugoslavia,1960
Spain,Hungary,1964
Denmark,Soviet Union,1964
Hungary,Denmark,1964
Spain,Soviet Union,1964
Italy,Soviet Union,1968
Yugoslavia,England,1968
England,Soviet Union,1968
Italy,Yugoslavia,1968
Italy,Yugoslavia,1968
Hungary,Soviet Union,1972
Belgium,West Germany,1972
Hungary,Belgium,1972
West Germany,Soviet Union,1972
Czechoslovakia,Netherlands,1976
Yugoslavia,West Germany,1976
Netherlands,Yugoslavia,1976
Czechoslovakia,West Germany,1976
Czechoslovakia,West Germany,1980
Netherlands,Greece,1980
West Germany,Netherlands,1980
Greece,Czechoslovakia,1980
Netherlands,Czechoslovakia,1980
Greece,West Germany,1980
Belgium,England,1980
Spain,Italy,1980
Belgium,Spain,1980
England,Italy,1980
Spain,England,1980
Italy,Belgium,1980
Czechoslovakia,Italy,1980
Belgium,West Germany,1980
France,Denmark,1984
Belgium,Yugoslavia,1984
France,Belgium,1984
Denmark,Yugoslavia,1984
France,Yugoslavia,1984
Denmark,Belgium,1984
West Germany,Portugal,1984
Romania,Spain,1984
West Germany,Romania,1984
Portugal,Spain,1984
West Germany,Spain,1984
Portugal,Romania,1984
France,Portugal,1984
Denmark,Spain,1984
France,Spain,1984
West Germany,Italy,1988
Denmark,Spain,1988
West Germany,Denmark,1988
Italy,Spain,1988
West Germany,Spain,1988
Italy,Denmark,1988
England,Republic of Ireland,1988
Netherlands,Soviet Union,1988
England,Netherlands,1988
Republic of Ireland,Soviet Union,1988
England,Soviet Union,1988
Republic of Ireland,Netherlands,1988
West Germany,Netherlands,1988
Soviet Union,Italy,1988
Soviet Union,Netherlands,1988
Sweden,France,1992
Denmark,England,1992
France,England,1992
Sweden,Denmark,1992
Sweden,England,1992
France,Denmark,1992
Netherlands,Scotland,1992
CIS,Germany,1992
Scotland,Germany,1992
Netherlands,CIS,1992
Netherlands,Germany,1992
Scotland,CIS,1992
Sweden,Germany,1992
Netherlands,Denmark,1992
Denmark,Germany,1992
England,Switzerland,1996
Netherlands,Scotland,1996
Switzerland,Netherlands,1996
Scotland,England,1996
Scotland,Switzerland,1996
Netherlands,England,1996
Spain,Bulgaria,1996
Romania,France,1996
Bulgaria,Romania,1996
France,Spain,1996
France,Bulgaria,1996
Romania,Spain,1996
Germany,Czech Republic,1996
Italy,Russia,1996
Czech Republic,Italy,1996
Russia,Germany,1996
Russia,Czech Republic,1996
Italy,Germany,1996
Denmark,Portugal,1996
Turkey,Croatia,1996
Portugal,Turkey,1996
Croatia,Denmark,1996
Croatia,Portugal,1996
Turkey,Denmark,1996
Spain,England,1996
France,Netherlands,1996
Germany,Croatia,1996
Czech Republic,Portugal,1996
France,Czech Republic,1996
Germany,England,1996
Czech Republic,Germany,1996
Germany,Romania,2000
Portugal,England,2000
Romania,Portugal,2000
